ORDERDATE,SHIPDATE,ORDERNUMBER,ORDERLINENUMBER,PRODUCTCODE,PRODUCTLINE,MSRP,CUSTOMERID,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,QUANTITYORDERED,PRICEEACH,SALES,STATUS
2022-01-12,2022-01-16,10210,5,S32_1374,Motorcycles,99,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,46,79.91,3675.86,Shipped
2022-01-12,2022-01-16,10210,10,S32_4289,Vintage Cars,68,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,39,59.16,2307.24,Shipped
2022-01-12,2022-01-16,10210,11,S50_1341,Vintage Cars,43,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,43,41.02,1763.86,Shipped
2022-01-12,2022-01-16,10210,12,S700_1691,Planes,91,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,21,78.55,1649.55,Shipped
2022-01-12,2022-01-16,10210,14,S700_2466,Planes,99,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,26,99.72,2592.72,Shipped
2022-01-12,2022-01-16,10210,6,S700_2834,Planes,118,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,25,100,2818,Shipped
2022-01-12,2022-01-16,10210,13,S700_3167,Planes,80,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,31,86.4,2678.4,Shipped
2022-01-12,2022-01-16,10210,15,S700_4002,Planes,74,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,42,70.33,2953.86,Shipped
2022-01-12,2022-01-16,10367,1,S18_1589,Classic Cars,124,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,49,56.3,2758.7,Resolved
2022-01-12,2022-01-16,10367,3,S18_1749,Vintage Cars,170,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,37,100,4703.81,Resolved
2022-01-12,2022-01-16,10367,4,S18_2248,Vintage Cars,60,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,45,100,8885,Resolved
2022-01-12,2022-01-16,10367,5,S18_2325,Vintage Cars,127,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,27,100,4196.07,Resolved
2022-01-12,2022-01-16,10367,7,S18_2795,Vintage Cars,168,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,32,94.79,3033.28,Resolved
2022-01-12,2022-01-16,10367,6,S18_3685,Classic Cars,141,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,46,100,4808.38,Resolved
2022-01-12,2022-01-16,10367,8,S18_4409,Vintage Cars,92,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,43,62.72,2696.96,Resolved
2022-01-12,2022-01-16,10367,9,S18_4933,Classic Cars,71,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,44,85.25,3751,Resolved
2022-01-12,2022-01-16,10367,10,S24_1046,Classic Cars,73,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,21,60.37,1267.77,Resolved
2022-01-12,2022-01-16,10367,11,S24_1628,Classic Cars,50,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,38,38.5,1463,Resolved
2022-01-12,2022-01-16,10367,13,S24_1937,Vintage Cars,33,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,23,36.29,834.67,Resolved
2022-01-12,2022-01-16,10367,12,S24_2022,Vintage Cars,44,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,28,30.59,856.52,Resolved
2022-01-12,2022-01-16,10367,2,S24_2972,Classic Cars,37,1006726,Toys4GrownUps.com,Pasadena,USA,NA,Young,Kwai,36,100,5018.4,Resolved
2022-01-15,2022-01-19,10211,14,S10_1678,Motorcycles,95,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,41,100,4708.44,Shipped
2022-01-15,2022-01-19,10211,2,S12_1099,Classic Cars,194,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,41,100,7499,Shipped
2022-01-15,2022-01-19,10211,13,S12_2823,Motorcycles,150,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,36,100,4771.8,Shipped
2022-01-15,2022-01-19,10211,3,S12_3990,Classic Cars,79,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,28,92.57,2591.96,Shipped
2022-01-15,2022-01-19,10211,5,S18_3278,Classic Cars,80,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,35,78,2730,Shipped
2022-01-15,2022-01-19,10211,4,S18_3482,Classic Cars,146,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,28,100,3745.28,Shipped
2022-01-15,2022-01-19,10211,8,S18_3782,Motorcycles,62,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,46,54.09,2488.14,Shipped
2022-01-15,2022-01-19,10211,7,S18_4721,Classic Cars,148,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,41,100,5673.58,Shipped
2022-01-15,2022-01-19,10211,15,S24_1578,Motorcycles,112,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,25,90.16,2254,Shipped
2022-01-15,2022-01-19,10211,11,S24_2360,Motorcycles,69,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,21,63.72,1338.12,Shipped
2022-01-15,2022-01-19,10211,1,S24_3371,Classic Cars,61,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,48,48.98,2351.04,Shipped
2022-01-15,2022-01-19,10211,6,S24_4620,Classic Cars,80,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,22,92.16,2027.52,Shipped
2022-01-15,2022-01-19,10211,9,S32_2206,Motorcycles,40,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,41,42.24,1731.84,Shipped
2022-01-15,2022-01-19,10211,12,S32_4485,Motorcycles,102,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,37,100,4040.03,Shipped
2022-01-15,2022-01-19,10211,10,S50_4713,Motorcycles,81,1006732,Auto Canal Petit,Paris,France,EMEA,Perrier,Kwai,40,80.55,3222,Shipped
2022-01-16,2022-01-20,10212,16,S12_3380,Classic Cars,117,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,39,100,4946.76,Shipped
2022-01-16,2022-01-20,10212,15,S12_4675,Classic Cars,115,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,33,100,4180.44,Shipped
2022-01-16,2022-01-20,10212,10,S18_1129,Classic Cars,141,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,29,100,4186.73,Shipped
2022-01-16,2022-01-20,10212,6,S18_1589,Classic Cars,124,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,38,100,4492.36,Shipped
2022-01-16,2022-01-20,10212,14,S18_1889,Classic Cars,77,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,20,66.99,1339.8,Shipped
2022-01-16,2022-01-20,10212,9,S18_1984,Classic Cars,142,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,41,100,4840.87,Shipped
2022-01-16,2022-01-20,10212,7,S18_2870,Classic Cars,132,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,40,100,4910.4,Shipped
2022-01-16,2022-01-20,10212,11,S18_3232,Classic Cars,169,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,40,100,5554.4,Shipped
2022-01-16,2022-01-20,10212,8,S18_3685,Classic Cars,141,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,45,100,6357.6,Shipped
2022-01-16,2022-01-20,10212,3,S24_1046,Classic Cars,73,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,41,82.31,3374.71,Shipped
2022-01-16,2022-01-20,10212,5,S24_1628,Classic Cars,50,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,45,53.33,2399.85,Shipped
2022-01-16,2022-01-20,10212,1,S24_2766,Classic Cars,90,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,45,88.14,3966.3,Shipped
2022-01-16,2022-01-20,10212,12,S24_2972,Classic Cars,37,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,34,43.42,1476.28,Shipped
2022-01-16,2022-01-20,10212,2,S24_3191,Classic Cars,85,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,27,79.62,2149.74,Shipped
2022-01-16,2022-01-20,10212,4,S24_3432,Classic Cars,107,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,46,87.81,4039.26,Shipped
2022-01-16,2022-01-20,10212,13,S24_3856,Classic Cars,140,1006746,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Michael,49,100,6949.67,Shipped
2022-01-19,2022-01-23,10368,2,S24_2766,Classic Cars,90,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,40,100,4107.2,Shipped
2022-01-19,2022-01-23,10368,5,S24_2887,Classic Cars,117,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,31,100,4223.13,Shipped
2022-01-19,2022-01-23,10368,1,S24_3191,Classic Cars,85,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,46,79.62,3662.52,Shipped
2022-01-19,2022-01-23,10368,4,S24_3432,Classic Cars,107,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,20,99.58,1991.6,Shipped
2022-01-19,2022-01-23,10368,3,S24_3969,Vintage Cars,41,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,46,37.34,1717.64,Shipped
2022-01-20,2022-01-24,10369,2,S10_1949,Classic Cars,214,1006764,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Michael,41,100,4514.92,Shipped
2022-01-20,2022-01-24,10370,4,S10_4962,Classic Cars,147,1006765,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Michael,35,65.63,2297.05,Shipped
2022-01-20,2022-01-24,10370,8,S12_1666,Trucks and Buses,136,1006765,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Michael,49,100,8470,Shipped
2022-01-20,2022-01-24,10370,1,S18_1097,Trucks and Buses,116,1006765,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Michael,27,100,3911.49,Shipped
2022-01-20,2022-01-24,10369,8,S18_1342,Vintage Cars,102,1006764,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Michael,44,100,9240,Shipped
2022-01-20,2022-01-24,10369,7,S18_1367,Vintage Cars,53,1006764,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Michael,32,98.63,3156.16,Shipped
2022-01-20,2022-01-24,10370,5,S18_2319,Trucks and Buses,122,1006765,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Michael,22,100,3949,Shipped
2022-01-20,2022-01-24,10370,7,S18_2432,Trucks and Buses,60,1006765,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Michael,22,96.86,2130.92,Shipped
2022-01-20,2022-01-24,10369,1,S18_2949,Vintage Cars,101,1006764,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Michael,42,100,4581.36,Shipped
2022-01-20,2022-01-24,10369,6,S18_2957,Vintage Cars,62,1006764,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Michael,28,44.21,1237.88,Shipped
2022-01-20,2022-01-24,10369,5,S18_3136,Vintage Cars,104,1006764,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Michael,21,94.22,1978.62,Shipped
2022-01-20,2022-01-24,10370,9,S18_3232,Classic Cars,169,1006765,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Michael,27,56.85,1534.95,Shipped
2022-01-20,2022-01-24,10369,4,S18_3320,Vintage Cars,99,1006764,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Michael,45,73.08,3288.6,Shipped
2022-01-20,2022-01-24,10370,6,S18_4600,Trucks and Buses,121,1006765,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Michael,29,57.53,1668.37,Shipped
2022-01-20,2022-01-24,10370,2,S18_4668,Vintage Cars,50,1006765,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Michael,20,100,2730,Shipped
2022-01-20,2022-01-24,10369,3,S24_4258,Vintage Cars,97,1006764,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Michael,40,86.92,3476.8,Shipped
2022-01-20,2022-01-24,10370,3,S32_3522,Trucks and Buses,64,1006765,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Michael,25,100,3160.25,Shipped
2022-01-22,2022-01-26,10213,1,S18_4409,Vintage Cars,92,1006775,"Double Decker Gift Stores, Ltd",London,UK,EMEA,Hardy,Daniel,38,94.79,3602.02,Shipped
2022-01-22,2022-01-26,10213,2,S18_4933,Classic Cars,71,1006775,"Double Decker Gift Stores, Ltd",London,UK,EMEA,Hardy,Daniel,25,83.39,2084.75,Shipped
2022-01-22,2022-01-26,10213,3,S24_2887,Classic Cars,117,1006775,"Double Decker Gift Stores, Ltd",London,UK,EMEA,Hardy,Daniel,27,100,2790.45,Shipped
2022-01-23,2022-01-27,10371,6,S12_1108,Classic Cars,207,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,32,100,3560.64,Shipped
2022-01-23,2022-01-27,10371,4,S12_4473,Trucks and Buses,118,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,49,35.71,1749.79,Shipped
2022-01-23,2022-01-27,10371,7,S18_2238,Classic Cars,163,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,25,100,2602.25,Shipped
2022-01-23,2022-01-27,10371,12,S24_1444,Classic Cars,57,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,25,97.27,2431.75,Shipped
2022-01-23,2022-01-27,10371,5,S24_2300,Trucks and Buses,127,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,20,100,3449.4,Shipped
2022-01-23,2022-01-27,10371,8,S24_2840,Classic Cars,35,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,45,100,5545.8,Shipped
2022-01-23,2022-01-27,10371,9,S24_4048,Classic Cars,118,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,28,50.32,1408.96,Shipped
2022-01-23,2022-01-27,10371,1,S32_1268,Trucks and Buses,96,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,26,100,4044.04,Shipped
2022-01-23,2022-01-27,10371,2,S32_2509,Trucks and Buses,54,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,20,66.47,1329.4,Shipped
2022-01-23,2022-01-27,10371,11,S32_3207,Trains,62,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,30,99.55,2986.5,Shipped
2022-01-23,2022-01-27,10371,10,S50_1392,Trucks and Buses,115,1006762,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Michael,48,56.55,2714.4,Shipped
